Car World|123 Main St|555-123-4567
10567|2018|Honda|Civic|sedan|black|8000|18995.0
10987|2017|Ford|Escape|SUV|white|25000|20995.0
11000|2018|Chevrolet|Malibu|sedan|red|12000|16995.0
12345|2020|Toyota|RAV4|SUV|grey|9999|45000.0
13001|2019|Nissan|Altima|sedan|silver|15000|17995.0
13002|2021|Honda|CR-V|SUV|blue|8000|28995.0
13003|2016|Jeep|Wrangler|SUV|green|42000|23995.0
13004|2022|Tesla|Model 3|sedan|white|5000|39995.0
13005|2015|BMW|328i|sedan|black|60000|15995.0
13006|2018|Ford|F-150|truck|red|30000|32995.0
13007|2020|Hyundai|Elantra|sedan|grey|14000|18995.0
13008|2017|Toyota|Camry|sedan|blue|27000|19995.0
13009|2023|Kia|Sportage|SUV|white|3000|31995.0
13010|2019|Chevrolet|Tahoe|SUV|black|22000|42995.0
13011|2014|Subaru|Outback|wagon|green|75000|13995.0
13012|2021|Mazda|CX-5|SUV|red|11000|27995.0
13013|2018|Audi|A4|sedan|silver|26000|24995.0
13014|2022|Toyota|Corolla|sedan|white|4000|23995.0
